id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,64,0.005,0.0005,500,50,4,0.5000,0.4211,66,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s5,Texas,GPRGNN,4,64,0.005,0.0005,500,50,5,0.4167,0.5263,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s6,Texas,GPRGNN,4,64,0.005,0.0005,500,50,6,0.4722,0.2895,123,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s7,Texas,GPRGNN,4,64,0.005,0.0005,500,50,7,0.5833,0.5789,71,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s8,Texas,GPRGNN,4,64,0.005,0.0005,500,50,8,0.6389,0.3947,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s9,Texas,GPRGNN,4,64,0.005,0.0005,500,50,9,0.4722,0.4474,57,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s0,Texas,GPRGNN,4,64,0.005,0.0001,500,50,0,0.4722,0.4474,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s1,Texas,GPRGNN,4,64,0.005,0.0001,500,50,1,0.5833,0.4737,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s2,Texas,GPRGNN,4,64,0.005,0.0001,500,50,2,0.6389,0.4211,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s3,Texas,GPRGNN,4,64,0.005,0.0001,500,50,3,0.3889,0.5526,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s4,Texas,GPRGNN,4,64,0.005,0.0001,500,50,4,0.6111,0.5263,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s5,Texas,GPRGNN,4,64,0.005,0.0001,500,50,5,0.3611,0.4737,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s6,Texas,GPRGNN,4,64,0.005,0.0001,500,50,6,0.4444,0.3684,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s7,Texas,GPRGNN,4,64,0.005,0.0001,500,50,7,0.5833,0.6842,85,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s8,Texas,GPRGNN,4,64,0.005,0.0001,500,50,8,0.6667,0.5789,112,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s9,Texas,GPRGNN,4,64,0.005,0.0001,500,50,9,0.4444,0.5000,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s0,Texas,GPRGNN,4,64,0.005,0.0,500,50,0,0.4167,0.4211,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s1,Texas,GPRGNN,4,64,0.005,0.0,500,50,1,0.5556,0.5263,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s2,Texas,GPRGNN,4,64,0.005,0.0,500,50,2,0.5556,0.5000,56,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s3,Texas,GPRGNN,4,64,0.005,0.0,500,50,3,0.4722,0.3947,104,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s4,Texas,GPRGNN,4,64,0.005,0.0,500,50,4,0.5556,0.3947,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s5,Texas,GPRGNN,4,64,0.005,0.0,500,50,5,0.4167,0.5526,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s6,Texas,GPRGNN,4,64,0.005,0.0,500,50,6,0.5000,0.4474,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s7,Texas,GPRGNN,4,64,0.005,0.0,500,50,7,0.5833,0.6579,64,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s8,Texas,GPRGNN,4,64,0.005,0.0,500,50,8,0.6111,0.5526,62,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s9,Texas,GPRGNN,4,64,0.005,0.0,500,50,9,0.3889,0.3421,87,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s0,Texas,GPRGNN,4,64,0.001,0.0005,500,50,0,0.4167,0.3684,60,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s1,Texas,GPRGNN,4,64,0.001,0.0005,500,50,1,0.3611,0.4211,63,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s2,Texas,GPRGNN,4,64,0.001,0.0005,500,50,2,0.5556,0.4737,76,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s3,Texas,GPRGNN,4,64,0.001,0.0005,500,50,3,0.3333,0.3421,99,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,64,0.001,0.0005,500,50,4,0.5000,0.4737,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s5,Texas,GPRGNN,4,64,0.001,0.0005,500,50,5,0.3889,0.3158,118,lr_wd_seed_batched
