id,dataset,model,depth,hidden,eps,seed,test_acc
Texas_L3_H64_epsna_s0,Texas,hfgcn,3,64,na,0,0.6842
Texas_L3_H64_epsna_s1,Texas,hfgcn,3,64,na,1,0.7368
Texas_L3_H64_epsna_s2,Texas,hfgcn,3,64,na,2,0.6842
Texas_L4_H16_epsna_s0,Texas,hfgcn,4,16,na,0,0.7368
Texas_L4_H16_epsna_s1,Texas,hfgcn,4,16,na,1,0.7368
Texas_L4_H16_epsna_s2,Texas,hfgcn,4,16,na,2,0.7368
Texas_L4_H32_epsna_s0,Texas,hfgcn,4,32,na,0,0.7368
Texas_L4_H32_epsna_s1,Texas,hfgcn,4,32,na,1,0.7368
Texas_L4_H32_epsna_s2,Texas,hfgcn,4,32,na,2,0.7895
Texas_L4_H64_epsna_s0,Texas,hfgcn,4,64,na,0,0.6316
Texas_L4_H64_epsna_s1,Texas,hfgcn,4,64,na,1,0.6842
Texas_L4_H64_epsna_s2,Texas,hfgcn,4,64,na,2,0.6842
Chameleon_L2_H16_epsna_s0,Chameleon,hfgcn,2,16,na,0,0.2584
Chameleon_L2_H16_epsna_s1,Chameleon,hfgcn,2,16,na,1,0.2809
Chameleon_L2_H16_epsna_s2,Chameleon,hfgcn,2,16,na,2,0.2584
Chameleon_L2_H32_epsna_s0,Chameleon,hfgcn,2,32,na,0,0.2921
Chameleon_L2_H32_epsna_s1,Chameleon,hfgcn,2,32,na,1,0.3146
Chameleon_L2_H32_epsna_s2,Chameleon,hfgcn,2,32,na,2,0.2360
Chameleon_L2_H64_epsna_s0,Chameleon,hfgcn,2,64,na,0,0.3371
Chameleon_L2_H64_epsna_s1,Chameleon,hfgcn,2,64,na,1,0.3146
Chameleon_L2_H64_epsna_s2,Chameleon,hfgcn,2,64,na,2,0.2921
Chameleon_L3_H16_epsna_s0,Chameleon,hfgcn,3,16,na,0,0.2135
Chameleon_L3_H16_epsna_s1,Chameleon,hfgcn,3,16,na,1,0.2809
Chameleon_L3_H16_epsna_s2,Chameleon,hfgcn,3,16,na,2,0.2472
