id,dataset,model,depth,hidden,eps,dropout,wd,relu,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,gcn,2,16,na,,,,0,0.8750
Cora_L2_H16_epsna_s1,Cora,gcn,2,16,na,,,,1,0.8750
Cora_L2_H16_epsna_s2,Cora,gcn,2,16,na,,,,2,0.8750
Cora_L2_H32_epsna_s0,Cora,gcn,2,32,na,,,,0,0.8787
Cora_L2_H32_epsna_s1,Cora,gcn,2,32,na,,,,1,0.8566
Cora_L2_H32_epsna_s2,Cora,gcn,2,32,na,,,,2,0.8860
Cora_L2_H64_epsna_s0,Cora,gcn,2,64,na,,,,0,0.8713
Cora_L2_H64_epsna_s1,Cora,gcn,2,64,na,,,,1,0.8713
Cora_L2_H64_epsna_s2,Cora,gcn,2,64,na,,,,2,0.8713
Cora_L3_H16_epsna_s0,Cora,gcn,3,16,na,,,,0,0.8750
Cora_L3_H16_epsna_s1,Cora,gcn,3,16,na,,,,1,0.8750
Cora_L3_H16_epsna_s2,Cora,gcn,3,16,na,,,,2,0.8750
Cora_L3_H32_epsna_s0,Cora,gcn,3,32,na,,,,0,0.8750
Cora_L3_H32_epsna_s1,Cora,gcn,3,32,na,,,,1,0.8824
Cora_L3_H32_epsna_s2,Cora,gcn,3,32,na,,,,2,0.8640
Cora_L3_H64_epsna_s0,Cora,gcn,3,64,na,,,,0,0.8676
Cora_L3_H64_epsna_s1,Cora,gcn,3,64,na,,,,1,0.8750
Cora_L3_H64_epsna_s2,Cora,gcn,3,64,na,,,,2,0.8676
Cora_L4_H16_epsna_s0,Cora,gcn,4,16,na,,,,0,0.8456
Cora_L4_H16_epsna_s1,Cora,gcn,4,16,na,,,,1,0.8419
Cora_L4_H16_epsna_s2,Cora,gcn,4,16,na,,,,2,0.8640
Cora_L4_H32_epsna_s0,Cora,gcn,4,32,na,,,,0,0.8603
Cora_L4_H32_epsna_s1,Cora,gcn,4,32,na,,,,1,0.8603
Cora_L4_H32_epsna_s2,Cora,gcn,4,32,na,,,,2,0.8750
Cora_L4_H64_epsna_s0,Cora,gcn,4,64,na,,,,0,0.8824
Cora_L4_H64_epsna_s1,Cora,gcn,4,64,na,,,,1,0.8640
Cora_L4_H64_epsna_s2,Cora,gcn,4,64,na,,,,2,0.8640
PubMed_L2_H16_epsna_s0,PubMed,gcn,2,16,na,,,,0,0.8632
