id,dataset,model,depth,hidden,eps,dropout,wd,relu,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,hfgcn,2,16,na,,,,0,0.3162
Cora_L2_H16_epsna_s1,Cora,hfgcn,2,16,na,,,,1,0.2941
Cora_L2_H16_epsna_s2,Cora,hfgcn,2,16,na,,,,2,0.3309
Cora_L2_H32_epsna_s0,Cora,hfgcn,2,32,na,,,,0,0.3346
Cora_L2_H32_epsna_s1,Cora,hfgcn,2,32,na,,,,1,0.3456
Cora_L2_H32_epsna_s2,Cora,hfgcn,2,32,na,,,,2,0.3309
Cora_L2_H64_epsna_s0,Cora,hfgcn,2,64,na,,,,0,0.3051
Cora_L2_H64_epsna_s1,Cora,hfgcn,2,64,na,,,,1,0.3235
Cora_L2_H64_epsna_s2,Cora,hfgcn,2,64,na,,,,2,0.3272
Cora_L3_H16_epsna_s0,Cora,hfgcn,3,16,na,,,,0,0.2610
Cora_L3_H16_epsna_s1,Cora,hfgcn,3,16,na,,,,1,0.2096
Cora_L3_H16_epsna_s2,Cora,hfgcn,3,16,na,,,,2,0.2831
Cora_L3_H32_epsna_s0,Cora,hfgcn,3,32,na,,,,0,0.3051
Cora_L3_H32_epsna_s1,Cora,hfgcn,3,32,na,,,,1,0.3162
Cora_L3_H32_epsna_s2,Cora,hfgcn,3,32,na,,,,2,0.3162
Cora_L3_H64_epsna_s0,Cora,hfgcn,3,64,na,,,,0,0.3493
Cora_L3_H64_epsna_s1,Cora,hfgcn,3,64,na,,,,1,0.2868
Cora_L3_H64_epsna_s2,Cora,hfgcn,3,64,na,,,,2,0.2904
Cora_L4_H16_epsna_s0,Cora,hfgcn,4,16,na,,,,0,0.2574
Cora_L4_H16_epsna_s1,Cora,hfgcn,4,16,na,,,,1,0.2169
Cora_L4_H16_epsna_s2,Cora,hfgcn,4,16,na,,,,2,0.2500
Cora_L4_H32_epsna_s0,Cora,hfgcn,4,32,na,,,,0,0.2794
Cora_L4_H32_epsna_s1,Cora,hfgcn,4,32,na,,,,1,0.2390
Cora_L4_H32_epsna_s2,Cora,hfgcn,4,32,na,,,,2,0.2757
Cora_L4_H64_epsna_s0,Cora,hfgcn,4,64,na,,,,0,0.2647
