id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,0,0.7178,0.6989,442,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,1,0.7059,0.6987,345,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,2,0.7054,0.6976,361,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,3,0.6953,0.6945,348,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,4,0.6953,0.7064,423,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,5,0.7154,0.6918,422,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,6,0.7081,0.7031,500,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,7,0.6944,0.7046,314,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,8,0.7068,0.7004,340,lr_wd_seed_batched
RomanEmpire_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,RomanEmpire,GPRGNN,4,64,0.01,0.0005,500,50,9,0.7010,0.7084,433,lr_wd_seed_batched
