id,dataset,model,depth,hidden,eps,dropout,wd,relu,seed,test_acc
Cora_L2_H16_eps0.1_s0,Cora,fagcn,2,16,0.1,,,,0,0.6397
Cora_L2_H16_eps0.1_s1,Cora,fagcn,2,16,0.1,,,,1,0.6360
Cora_L2_H16_eps0.1_s2,Cora,fagcn,2,16,0.1,,,,2,0.6360
Cora_L2_H16_eps0.2_s0,Cora,fagcn,2,16,0.2,,,,0,0.6397
Cora_L2_H16_eps0.2_s1,Cora,fagcn,2,16,0.2,,,,1,0.6691
Cora_L2_H16_eps0.2_s2,Cora,fagcn,2,16,0.2,,,,2,0.6765
Cora_L2_H16_eps0.3_s0,Cora,fagcn,2,16,0.3,,,,0,0.7610
Cora_L2_H16_eps0.3_s1,Cora,fagcn,2,16,0.3,,,,1,0.6912
Cora_L2_H16_eps0.3_s2,Cora,fagcn,2,16,0.3,,,,2,0.7463
Cora_L2_H16_eps0.4_s0,Cora,fagcn,2,16,0.4,,,,0,0.7316
Cora_L2_H16_eps0.4_s1,Cora,fagcn,2,16,0.4,,,,1,0.7500
Cora_L2_H16_eps0.4_s2,Cora,fagcn,2,16,0.4,,,,2,0.7500
Cora_L2_H16_eps0.5_s0,Cora,fagcn,2,16,0.5,,,,0,0.7500
Cora_L2_H16_eps0.5_s1,Cora,fagcn,2,16,0.5,,,,1,0.7721
Cora_L2_H16_eps0.5_s2,Cora,fagcn,2,16,0.5,,,,2,0.7647
Cora_L2_H32_eps0.1_s0,Cora,fagcn,2,32,0.1,,,,0,0.6434
Cora_L2_H32_eps0.1_s1,Cora,fagcn,2,32,0.1,,,,1,0.6765
Cora_L2_H32_eps0.1_s2,Cora,fagcn,2,32,0.1,,,,2,0.6471
Cora_L2_H32_eps0.2_s0,Cora,fagcn,2,32,0.2,,,,0,0.7757
Cora_L2_H32_eps0.2_s1,Cora,fagcn,2,32,0.2,,,,1,0.7794
Cora_L2_H32_eps0.2_s2,Cora,fagcn,2,32,0.2,,,,2,0.7463
Cora_L2_H32_eps0.3_s0,Cora,fagcn,2,32,0.3,,,,0,0.7794
Cora_L2_H32_eps0.3_s1,Cora,fagcn,2,32,0.3,,,,1,0.7610
Cora_L2_H32_eps0.3_s2,Cora,fagcn,2,32,0.3,,,,2,0.7610
Cora_L2_H32_eps0.4_s0,Cora,fagcn,2,32,0.4,,,,0,0.7904
Cora_L2_H32_eps0.4_s1,Cora,fagcn,2,32,0.4,,,,1,0.7096
Cora_L2_H32_eps0.4_s2,Cora,fagcn,2,32,0.4,,,,2,0.7647
Cora_L2_H32_eps0.5_s0,Cora,fagcn,2,32,0.5,,,,0,0.7978
Cora_L2_H32_eps0.5_s1,Cora,fagcn,2,32,0.5,,,,1,0.7353
Cora_L2_H32_eps0.5_s2,Cora,fagcn,2,32,0.5,,,,2,0.7390
Cora_L2_H64_eps0.1_s0,Cora,fagcn,2,64,0.1,,,,0,0.6618
Cora_L2_H64_eps0.1_s1,Cora,fagcn,2,64,0.1,,,,1,0.6618
Cora_L2_H64_eps0.1_s2,Cora,fagcn,2,64,0.1,,,,2,0.6581
Cora_L2_H64_eps0.2_s0,Cora,fagcn,2,64,0.2,,,,0,0.7206
Cora_L2_H64_eps0.2_s1,Cora,fagcn,2,64,0.2,,,,1,0.7096
Cora_L2_H64_eps0.2_s2,Cora,fagcn,2,64,0.2,,,,2,0.7500
Cora_L2_H64_eps0.3_s0,Cora,fagcn,2,64,0.3,,,,0,0.7610
Cora_L2_H64_eps0.3_s1,Cora,fagcn,2,64,0.3,,,,1,0.7574
Cora_L2_H64_eps0.3_s2,Cora,fagcn,2,64,0.3,,,,2,0.7868
Cora_L2_H64_eps0.4_s0,Cora,fagcn,2,64,0.4,,,,0,0.7500
Cora_L2_H64_eps0.4_s1,Cora,fagcn,2,64,0.4,,,,1,0.7574
Cora_L2_H64_eps0.4_s2,Cora,fagcn,2,64,0.4,,,,2,0.7794
Cora_L2_H64_eps0.5_s0,Cora,fagcn,2,64,0.5,,,,0,0.7500
Cora_L2_H64_eps0.5_s1,Cora,fagcn,2,64,0.5,,,,1,0.7647
Cora_L2_H64_eps0.5_s2,Cora,fagcn,2,64,0.5,,,,2,0.7684
Cora_L3_H16_eps0.1_s0,Cora,fagcn,3,16,0.1,,,,0,0.6618
Cora_L3_H16_eps0.1_s1,Cora,fagcn,3,16,0.1,,,,1,0.6728
Cora_L3_H16_eps0.1_s2,Cora,fagcn,3,16,0.1,,,,2,0.6544
Cora_L3_H16_eps0.2_s0,Cora,fagcn,3,16,0.2,,,,0,0.7463
Cora_L3_H16_eps0.2_s1,Cora,fagcn,3,16,0.2,,,,1,0.7463
Cora_L3_H16_eps0.2_s2,Cora,fagcn,3,16,0.2,,,,2,0.7279
Cora_L3_H16_eps0.3_s0,Cora,fagcn,3,16,0.3,,,,0,0.7684
Cora_L3_H16_eps0.3_s1,Cora,fagcn,3,16,0.3,,,,1,0.7279
Cora_L3_H16_eps0.3_s2,Cora,fagcn,3,16,0.3,,,,2,0.7537
Cora_L3_H16_eps0.4_s0,Cora,fagcn,3,16,0.4,,,,0,0.7684
Cora_L3_H16_eps0.4_s1,Cora,fagcn,3,16,0.4,,,,1,0.7390
Cora_L3_H16_eps0.4_s2,Cora,fagcn,3,16,0.4,,,,2,0.7831
Cora_L3_H16_eps0.5_s0,Cora,fagcn,3,16,0.5,,,,0,0.7794
Cora_L3_H16_eps0.5_s1,Cora,fagcn,3,16,0.5,,,,1,0.7390
Cora_L3_H16_eps0.5_s2,Cora,fagcn,3,16,0.5,,,,2,0.7684
Cora_L3_H32_eps0.1_s0,Cora,fagcn,3,32,0.1,,,,0,0.6544
Cora_L3_H32_eps0.1_s1,Cora,fagcn,3,32,0.1,,,,1,0.6765
Cora_L3_H32_eps0.1_s2,Cora,fagcn,3,32,0.1,,,,2,0.7390
