id,dataset,model,depth,hidden,eps,dropout,wd,relu,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,gcn,2,16,na,,,,0,0.6176
Cora_L2_H16_epsna_s1,Cora,gcn,2,16,na,,,,1,0.6507
Cora_L2_H16_epsna_s2,Cora,gcn,2,16,na,,,,2,0.6324
Cora_L2_H32_epsna_s0,Cora,gcn,2,32,na,,,,0,0.6360
Cora_L2_H32_epsna_s1,Cora,gcn,2,32,na,,,,1,0.6213
Cora_L2_H32_epsna_s2,Cora,gcn,2,32,na,,,,2,0.6250
Cora_L2_H64_epsna_s0,Cora,gcn,2,64,na,,,,0,0.6434
Cora_L2_H64_epsna_s1,Cora,gcn,2,64,na,,,,1,0.6360
Cora_L2_H64_epsna_s2,Cora,gcn,2,64,na,,,,2,0.6434
Cora_L3_H16_epsna_s0,Cora,gcn,3,16,na,,,,0,0.6029
Cora_L3_H16_epsna_s1,Cora,gcn,3,16,na,,,,1,0.6066
Cora_L3_H16_epsna_s2,Cora,gcn,3,16,na,,,,2,0.5919
Cora_L3_H32_epsna_s0,Cora,gcn,3,32,na,,,,0,0.6029
Cora_L3_H32_epsna_s1,Cora,gcn,3,32,na,,,,1,0.6250
Cora_L3_H32_epsna_s2,Cora,gcn,3,32,na,,,,2,0.5956
Cora_L3_H64_epsna_s0,Cora,gcn,3,64,na,,,,0,0.6287
Cora_L3_H64_epsna_s1,Cora,gcn,3,64,na,,,,1,0.6250
Cora_L3_H64_epsna_s2,Cora,gcn,3,64,na,,,,2,0.6250
Cora_L4_H16_epsna_s0,Cora,gcn,4,16,na,,,,0,0.5846
Cora_L4_H16_epsna_s1,Cora,gcn,4,16,na,,,,1,0.5588
Cora_L4_H16_epsna_s2,Cora,gcn,4,16,na,,,,2,0.5735
Cora_L4_H32_epsna_s0,Cora,gcn,4,32,na,,,,0,0.5846
Cora_L4_H32_epsna_s1,Cora,gcn,4,32,na,,,,1,0.6176
Cora_L4_H32_epsna_s2,Cora,gcn,4,32,na,,,,2,0.5846
Cora_L4_H64_epsna_s0,Cora,gcn,4,64,na,,,,0,0.5956
Cora_L4_H64_epsna_s1,Cora,gcn,4,64,na,,,,1,0.6213
Cora_L4_H64_epsna_s2,Cora,gcn,4,64,na,,,,2,0.6213
PubMed_L2_H16_epsna_s0,PubMed,gcn,2,16,na,,,,0,0.8632
PubMed_L2_H16_epsna_s1,PubMed,gcn,2,16,na,,,,1,0.8657
PubMed_L2_H16_epsna_s2,PubMed,gcn,2,16,na,,,,2,0.8677
PubMed_L2_H32_epsna_s0,PubMed,gcn,2,32,na,,,,0,0.8682
PubMed_L2_H32_epsna_s1,PubMed,gcn,2,32,na,,,,1,0.8637
PubMed_L2_H32_epsna_s2,PubMed,gcn,2,32,na,,,,2,0.8657
PubMed_L2_H64_epsna_s0,PubMed,gcn,2,64,na,,,,0,0.8708
PubMed_L2_H64_epsna_s1,PubMed,gcn,2,64,na,,,,1,0.8697
PubMed_L2_H64_epsna_s2,PubMed,gcn,2,64,na,,,,2,0.8692
PubMed_L3_H16_epsna_s0,PubMed,gcn,3,16,na,,,,0,0.8586
PubMed_L3_H16_epsna_s1,PubMed,gcn,3,16,na,,,,1,0.8637
PubMed_L3_H16_epsna_s2,PubMed,gcn,3,16,na,,,,2,0.8657
PubMed_L3_H32_epsna_s0,PubMed,gcn,3,32,na,,,,0,0.8687
PubMed_L3_H32_epsna_s1,PubMed,gcn,3,32,na,,,,1,0.8702
PubMed_L3_H32_epsna_s2,PubMed,gcn,3,32,na,,,,2,0.8591
PubMed_L3_H64_epsna_s0,PubMed,gcn,3,64,na,,,,0,0.8692
PubMed_L3_H64_epsna_s1,PubMed,gcn,3,64,na,,,,1,0.8682
PubMed_L3_H64_epsna_s2,PubMed,gcn,3,64,na,,,,2,0.8672
PubMed_L4_H16_epsna_s0,PubMed,gcn,4,16,na,,,,0,0.8515
PubMed_L4_H16_epsna_s1,PubMed,gcn,4,16,na,,,,1,0.8490
PubMed_L4_H16_epsna_s2,PubMed,gcn,4,16,na,,,,2,0.8601
