id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,0,0.7850,0.7960,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,1,0.7850,0.7960,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,2,0.7850,0.7960,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,3,0.7850,0.7960,52,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,4,0.8280,0.8310,382,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,5,0.7850,0.7960,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,6,0.7850,0.7960,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,7,0.7850,0.7960,52,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,8,0.8210,0.8270,244,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,Minesweeper,GPRGNN,4,64,0.01,0.0005,500,50,9,0.8270,0.8310,357,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s0,Minesweeper,GPRGNN,4,64,0.01,0.0001,500,50,0,0.7860,0.7910,51,lr_wd_seed_batched
Minesweeper_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s1,Minesweeper,GPRGNN,4,64,0.01,0.0001,500,50,1,0.8300,0.8360,255,lr_wd_seed_batched
