dataset,variant,epsilon,steps,reference_steps,seed,num_nodes,num_classes,full_edges,graph_edges,edge_fraction,ground_truth_key,sparsify_time_sec,slp_time_sec,pipeline_time_sec,steps_wasserstein_to_reference,slp_wasserstein,slp_cdf_l1,slp_cdf_l2
Cora,original,,64,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.08293125000000012,0.08293125000000012,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
Cora,sparsified,0.9,64,64,0,2708,7,5278,5278,1.0,Cora,2.7547395,0.08611916699999966,2.8408586669999996,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
PubMed,original,,64,64,0,19717,3,44324,44324,1.0,PubMed,0.0,0.1405807499999998,0.1405807499999998,0.0,0.020451507943955095,0.0013280629777318676,0.001983883344534654
PubMed,sparsified,0.9,64,64,0,19717,3,44324,44324,1.0,PubMed,2.499519667,0.12863133299999951,2.6281509999999995,0.0,0.02045165813586086,0.0013282337972688064,0.0019842458374387524
Photo,original,,64,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.2409245000000002,0.2409245000000002,0.0,0.024597660110267743,0.0015856677536656742,0.004878722978483849
Photo,sparsified,0.9,64,64,0,7650,8,119081,113009,0.9490094977368346,Amazon Photo,2.978181666,0.2600993750000029,3.2382810410000027,0.0,0.02450571096264424,0.001003812632181759,0.0015757556150061756
Texas,original,,64,64,0,183,5,279,279,1.0,Texas,0.0,0.016801334000000168,0.016801334000000168,0.0,0.30115196367816205,0.14948371825800558,0.18283850656635933
Texas,sparsified,0.9,64,64,0,183,5,279,279,1.0,Texas,2.373514791,0.016144999999998078,2.389659790999998,0.0,0.30115196367816205,0.14948371825800558,0.18283850656635933
Chameleon,original,,64,64,0,890,5,8854,8854,1.0,Chameleon,0.0,0.03161404199999751,0.03161404199999751,0.0,0.020812603826651465,0.0020360576684516733,0.0029929999894653713
Chameleon,sparsified,0.9,64,64,0,890,5,8854,8143,0.9196973119494014,Chameleon,2.359269875,0.02382000000000062,2.3830898750000005,0.0,0.021613863640910967,0.0031264529373591816,0.005144328312640945
CiteSeer,original,,64,64,0,3327,6,4552,4552,1.0,CiteSeer,0.0,0.06992724999999922,0.06992724999999922,0.0,0.0448354530248917,0.02092313272715712,0.027499102276919665
CiteSeer,sparsified,0.9,64,64,0,3327,6,4552,4552,1.0,CiteSeer,2.800927333,0.06802395800000482,2.868951291000005,0.0,0.0448354530248917,0.02092313272715712,0.027499102276919665
Computers,original,,64,64,0,13752,10,245861,245861,1.0,Amazon Computers,0.0,0.530351667000005,0.530351667000005,0.0,0.018952033720867702,0.0015237269899199503,0.0023736168474112885
Computers,sparsified,0.9,64,64,0,13752,10,245861,225427,0.9168879976897515,Amazon Computers,3.39749,0.48060174999999816,3.878091749999998,0.0,0.018884785035611376,0.0014369672493038232,0.0022941918120002254
CS,original,,64,64,0,18333,15,81894,81894,1.0,Coauthor CS,0.0,0.617134667000002,0.617134667000002,0.0,0.020421100529282185,0.0016706618657960797,0.002329106522297367
CS,sparsified,0.9,64,64,0,18333,15,81894,81892,0.9999755781864361,Coauthor CS,2.704825625,0.6233678329999961,3.328193457999996,0.0,0.02042152703306636,0.0016696200801854426,0.002328558831454498
Cornell,original,,64,64,0,183,5,277,277,1.0,Cornell,0.0,0.01629050000000376,0.01629050000000376,0.0,0.27589459092971635,0.134229801945856,0.15763437398436334
Cornell,sparsified,0.9,64,64,0,183,5,277,277,1.0,Cornell,2.487856167,0.016271707999997886,2.504127874999998,0.0,0.27589459092971635,0.134229801945856,0.15763437398436334
Wisconsin,original,,64,64,0,251,5,450,450,1.0,Wisconsin,0.0,0.016802333000001113,0.016802333000001113,0.0,0.23662374969289465,0.11608053640089899,0.13868058978228484
Wisconsin,sparsified,0.9,64,64,0,251,5,450,450,1.0,Wisconsin,2.402270333,0.016062167000001182,2.4183325000000013,0.0,0.23662374969289465,0.11608053640089899,0.13868058978228484
Actor,original,,64,64,0,7600,5,26659,26659,1.0,Actor,0.0,0.11335929099999476,0.11335929099999476,0.0,0.07744322993988631,0.037344800051773555,0.04520693877448321
Actor,sparsified,0.9,64,64,0,7600,5,26659,26651,0.999699913725196,Actor,2.526062291,0.11350237500001015,2.6395646660000103,0.0,0.07744128147458028,0.037344072381392576,0.045206504736391546
WikiCS,original,,64,64,0,11701,10,215603,215603,1.0,WikiCS,0.0,0.45649816699999235,0.45649816699999235,0.0,0.02069484624422299,0.0021377149045672017,0.0036510285642522866
WikiCS,sparsified,0.9,64,64,0,11701,10,215603,183115,0.8493156403204037,WikiCS,3.1571325,0.4197818749999982,3.576914374999998,0.0,0.02090422395309448,0.0019839698164663285,0.0028257384585945607
Squirrel,original,,64,64,0,2223,5,46998,46998,1.0,Squirrel,0.0,0.07990545799999893,0.07990545799999893,0.0,0.021946843220104924,0.004438138342684872,0.008260236581287769
Squirrel,sparsified,0.9,64,64,0,2223,5,46998,28067,0.5971956253457594,Squirrel,2.456164875,0.0647207920000028,2.5208856670000026,0.0,0.021370004224086477,0.004837541096569083,0.011751703838283521
RomanEmpire,original,,64,64,0,22662,18,32927,32927,1.0,Roman Empire,0.0,0.7639115000000061,0.7639115000000061,0.0,0.021594483935743508,0.00341768274922591,0.004390240743939148
RomanEmpire,sparsified,0.9,64,64,0,22662,18,32927,32927,1.0,Roman Empire,2.645585542,0.780137332999999,3.425722874999999,0.0,0.021594483935743508,0.00341768274922591,0.004390240743939148
AmazonRatings,original,,64,64,0,24492,5,93050,93050,1.0,Amazon Ratings,0.0,0.26121512499999255,0.26121512499999255,0.0,0.022619261622373984,0.003004092794252691,0.004174000633255897
AmazonRatings,sparsified,0.9,64,64,0,24492,5,93050,93049,0.9999892530897367,Amazon Ratings,2.903386375,0.26154116600000066,3.164927541000001,0.0,0.022620165471814096,0.0030038372502849075,0.004173376921227089
Minesweeper,original,,64,64,0,10000,2,39402,39402,1.0,Minesweeper,0.0,0.049294915999993805,0.049294915999993805,0.0,0.0212036008787635,0.003248076443224005,0.005384978285758641
Minesweeper,sparsified,0.9,64,64,0,10000,2,39402,39402,1.0,Minesweeper,2.53482375,0.049406708999995885,2.584230458999996,0.0,0.0212036008787635,0.003248076443224005,0.005384978285758641
Tolokers,original,,64,64,0,11758,2,519000,519000,1.0,Tolokers,0.0,0.19842466700001182,0.19842466700001182,0.0,0.02165910205108139,0.0011094750598190874,0.001972099950871627
Tolokers,sparsified,0.9,64,64,0,11758,2,519000,290741,0.5601946050096339,Tolokers,3.260229042,0.12094620900001019,3.3811752510000104,0.0,0.024018803510813595,0.0036210340316258603,0.007181421692236858
