id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,2,0.7729,0.7778,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,3,0.7639,0.7613,88,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,4,0.8015,0.7733,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,5,0.7714,0.7643,71,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,6,0.7759,0.7643,68,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,7,0.7684,0.7568,68,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,8,0.7820,0.7763,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.005,0.0005,500,50,9,0.7534,0.7838,66,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,0,0.7669,0.7658,69,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,1,0.7729,0.7598,61,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,2,0.7714,0.7718,66,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,3,0.7714,0.7613,72,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,4,0.7985,0.7718,67,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,5,0.7699,0.7718,65,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,6,0.7714,0.7583,70,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,7,0.7654,0.7628,67,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,8,0.7744,0.7823,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0.0001_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.005,0.0001,500,50,9,0.7609,0.7928,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,0,0.7684,0.7643,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,1,0.7729,0.7613,63,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,2,0.7805,0.7733,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,3,0.7744,0.7688,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,4,0.7985,0.7703,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,5,0.7684,0.7793,65,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,6,0.7744,0.7658,73,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,7,0.7714,0.7628,62,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,8,0.7850,0.7793,60,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.005_wd0_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.005,0.0,500,50,9,0.7684,0.7988,64,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,0,0.7714,0.7748,92,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,1,0.7714,0.7628,90,lr_wd_seed_batched
