model,target,selector,mean_regret,median_regret,exact_match,mean_chosen_acc,mean_oracle_acc,folds
ALL,depth,homophily,0.0054756410256410265,0.0,0.5961538461538461,0.6632538461538461,0.6687294871794871,52
ALL,depth,homophily+slp,0.0068012820512820555,0.0,0.6153846153846154,0.661928205128205,0.6687294871794871,52
ALL,depth,slp,0.006910256410256416,0.0,0.5769230769230769,0.6618192307692308,0.6687294871794871,52
ALL,depth,default,0.007889102564102572,0.0003666666666667373,0.46153846153846156,0.6608403846153846,0.6687294871794871,52
fagcn,depth,default,0.002620512820512818,0.000500000000000056,0.38461538461538464,0.7425487179487179,0.7451692307692308,13
fagcn,depth,homophily+slp,0.004656410256410235,0.00023333333333341866,0.46153846153846156,0.7405128205128205,0.7451692307692308,13
fagcn,depth,slp,0.005005128205128179,0.0005666666666666043,0.38461538461538464,0.7401641025641026,0.7451692307692308,13
fagcn,depth,homophily,0.0062564102564102424,0.0005666666666666043,0.3076923076923077,0.7389128205128206,0.7451692307692308,13
gcn,depth,homophily,0.0058333333333333275,0.0,0.6153846153846154,0.6505641025641027,0.6563974358974358,13
gcn,depth,homophily+slp,0.007058974358974365,0.0,0.6923076923076923,0.6493384615384615,0.6563974358974358,13
gcn,depth,slp,0.007146153846153859,0.0,0.6153846153846154,0.649251282051282,0.6563974358974358,13
gcn,depth,default,0.009333333333333343,0.00656666666666661,0.07692307692307693,0.6470641025641026,0.6563974358974358,13
hfgcn,depth,homophily,0.003351282051282054,0.0,0.9230769230769231,0.5376794871794872,0.5410307692307692,13
hfgcn,depth,homophily+slp,0.008412820512820522,0.0,0.8461538461538461,0.5326179487179488,0.5410307692307692,13
hfgcn,depth,slp,0.008412820512820522,0.0,0.8461538461538461,0.5326179487179488,0.5410307692307692,13
hfgcn,depth,default,0.0149948717948718,0.0,0.6923076923076923,0.5260358974358975,0.5410307692307692,13
mlp,depth,default,0.00460769230769233,0.0,0.6923076923076923,0.7277128205128205,0.7323205128205128,13
mlp,depth,homophily,0.006461538461538485,0.0,0.5384615384615384,0.7258589743589744,0.7323205128205128,13
mlp,depth,homophily+slp,0.0070769230769231,0.002000000000000113,0.46153846153846156,0.7252435897435897,0.7323205128205128,13
mlp,depth,slp,0.0070769230769231,0.002000000000000113,0.46153846153846156,0.7252435897435897,0.7323205128205128,13
ALL,eps,default,0.0013769230769230705,0.0,0.5384615384615384,0.7437923076923076,0.7451692307692308,13
ALL,eps,homophily+slp,0.0015102564102563976,0.0,0.5384615384615384,0.7436589743589743,0.7451692307692308,13
ALL,eps,slp,0.0018256410256410039,0.0011333333333333195,0.46153846153846156,0.7433435897435897,0.7451692307692308,13
ALL,eps,homophily,0.003835897435897415,0.0015666666666667162,0.38461538461538464,0.7413333333333334,0.7451692307692308,13
fagcn,eps,default,0.0013769230769230705,0.0,0.5384615384615384,0.7437923076923076,0.7451692307692308,13
fagcn,eps,homophily+slp,0.0015102564102563976,0.0,0.5384615384615384,0.7436589743589743,0.7451692307692308,13
fagcn,eps,slp,0.0018256410256410039,0.0011333333333333195,0.46153846153846156,0.7433435897435897,0.7451692307692308,13
fagcn,eps,homophily,0.003835897435897415,0.0015666666666667162,0.38461538461538464,0.7413333333333334,0.7451692307692308,13
ALL,full,default,0.015552564102564111,0.008483333333333343,0.25,0.6531769230769231,0.6687294871794871,52
ALL,full,homophily,0.02003461538461539,0.005199999999999927,0.3269230769230769,0.6486948717948717,0.6687294871794871,52
ALL,full,homophily+slp,0.021059615384615392,0.007250000000000034,0.3269230769230769,0.6476698717948717,0.6687294871794871,52
ALL,full,slp,0.02114679487179488,0.007250000000000034,0.3076923076923077,0.6475826923076924,0.6687294871794871,52
fagcn,full,homophily+slp,0.01621025641025642,0.008500000000000063,0.15384615384615385,0.7289589743589744,0.7451692307692308,13
fagcn,full,slp,0.016592307692307684,0.008500000000000063,0.07692307692307693,0.728576923076923,0.7451692307692308,13
fagcn,full,homophily,0.017710256410256413,0.015966666666666796,0.0,0.7274589743589743,0.7451692307692308,13
fagcn,full,default,0.020087179487179488,0.013466666666666738,0.0,0.7250820512820513,0.7451692307692308,13
gcn,full,default,0.005876923076923075,0.0042999999999999705,0.23076923076923078,0.6505205128205128,0.6563974358974358,13
gcn,full,homophily,0.012925641025641015,0.0018333333333333535,0.3076923076923077,0.643471794871795,0.6563974358974358,13
gcn,full,slp,0.019312820512820513,0.0011333333333334306,0.3076923076923077,0.6370846153846154,0.6563974358974358,13
gcn,full,homophily+slp,0.019346153846153843,0.0015666666666667162,0.3076923076923077,0.637051282051282,0.6563974358974358,13
hfgcn,full,homophily,0.015948717948717977,0.004799999999999971,0.46153846153846156,0.5250820512820513,0.5410307692307692,13
hfgcn,full,homophily+slp,0.01881025641025643,0.009133333333333382,0.46153846153846156,0.5222205128205128,0.5410307692307692,13
hfgcn,full,slp,0.01881025641025643,0.009133333333333382,0.46153846153846156,0.5222205128205128,0.5410307692307692,13
hfgcn,full,default,0.01965384615384617,0.0,0.5384615384615384,0.5213769230769231,0.5410307692307692,13
mlp,full,default,0.01659230769230771,0.010966666666666791,0.23076923076923078,0.7157282051282051,0.7323205128205128,13
mlp,full,homophily+slp,0.02987179487179488,0.008000000000000007,0.38461538461538464,0.7024487179487179,0.7323205128205128,13
mlp,full,slp,0.02987179487179488,0.008000000000000007,0.38461538461538464,0.7024487179487179,0.7323205128205128,13
mlp,full,homophily,0.03355384615384616,0.0,0.5384615384615384,0.6987666666666666,0.7323205128205128,13
