model,dataset,target,selector,source_dataset,oracle_value,chosen_value,oracle_config,chosen_config,oracle_acc,chosen_acc,regret,match
fagcn,Actor,full,default,,"(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')",0.35790000000000005,0.34933333333333333,0.008566666666666722,False
fagcn,Actor,full,homophily,Wisconsin,"(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')",0.35790000000000005,0.34933333333333333,0.008566666666666722,False
fagcn,Actor,full,slp,Cornell,"(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')",0.35790000000000005,0.34933333333333333,0.008566666666666722,False
fagcn,Actor,full,homophily+slp,Cornell,"(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')",0.35790000000000005,0.34933333333333333,0.008566666666666722,False
fagcn,Actor,depth,default,,3,4,"(3, 32, '0.5')","(4, 16, '0.5')",0.35790000000000005,0.35766666666666663,0.00023333333333341866,False
fagcn,Actor,depth,homophily,Wisconsin,3,4,"(3, 32, '0.5')","(4, 16, '0.5')",0.35790000000000005,0.35766666666666663,0.00023333333333341866,False
fagcn,Actor,depth,slp,Cornell,3,4,"(3, 32, '0.5')","(4, 16, '0.5')",0.35790000000000005,0.35766666666666663,0.00023333333333341866,False
fagcn,Actor,depth,homophily+slp,Cornell,3,4,"(3, 32, '0.5')","(4, 16, '0.5')",0.35790000000000005,0.35766666666666663,0.00023333333333341866,False
fagcn,Actor,hidden,default,,32,64,"(3, 32, '0.5')","(2, 64, '0.5')",0.35790000000000005,0.35569999999999996,0.0022000000000000908,False
fagcn,Actor,hidden,homophily,Wisconsin,32,64,"(3, 32, '0.5')","(2, 64, '0.5')",0.35790000000000005,0.35569999999999996,0.0022000000000000908,False
fagcn,Actor,hidden,slp,Cornell,32,64,"(3, 32, '0.5')","(2, 64, '0.5')",0.35790000000000005,0.35569999999999996,0.0022000000000000908,False
fagcn,Actor,hidden,homophily+slp,Cornell,32,64,"(3, 32, '0.5')","(2, 64, '0.5')",0.35790000000000005,0.35569999999999996,0.0022000000000000908,False
fagcn,Actor,eps,default,,0.5,0.5,"(3, 32, '0.5')","(3, 32, '0.5')",0.35790000000000005,0.35790000000000005,0.0,True
fagcn,Actor,eps,homophily,Wisconsin,0.5,0.5,"(3, 32, '0.5')","(3, 32, '0.5')",0.35790000000000005,0.35790000000000005,0.0,True
fagcn,Actor,eps,slp,Cornell,0.5,0.5,"(3, 32, '0.5')","(3, 32, '0.5')",0.35790000000000005,0.35790000000000005,0.0,True
fagcn,Actor,eps,homophily+slp,Cornell,0.5,0.5,"(3, 32, '0.5')","(3, 32, '0.5')",0.35790000000000005,0.35790000000000005,0.0,True
fagcn,CS,full,default,,"(3, 64, '0.5')","(4, 64, '0.5')","(3, 64, '0.5')","(4, 64, '0.5')",0.9577333333333332,0.9524,0.00533333333333319,False
fagcn,CS,full,homophily,Cora,"(3, 64, '0.5')","(3, 16, '0.1')","(3, 64, '0.5')","(3, 16, '0.1')",0.9577333333333332,0.9335,0.024233333333333218,False
fagcn,CS,full,slp,Photo,"(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,full,homophily+slp,Photo,"(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,depth,default,,3,4,"(3, 64, '0.5')","(4, 32, '0.5')",0.9577333333333332,0.9532666666666666,0.004466666666666619,False
fagcn,CS,depth,homophily,Cora,3,3,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,depth,slp,Photo,3,3,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,depth,homophily+slp,Photo,3,3,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,hidden,default,,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,hidden,homophily,Cora,64,16,"(3, 64, '0.5')","(2, 16, '0.5')",0.9577333333333332,0.9529,0.004833333333333245,False
fagcn,CS,hidden,slp,Photo,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,hidden,homophily+slp,Photo,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,eps,default,,0.5,0.5,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,eps,homophily,Cora,0.5,0.1,"(3, 64, '0.5')","(2, 64, '0.1')",0.9577333333333332,0.9425333333333333,0.01519999999999988,False
fagcn,CS,eps,slp,Photo,0.5,0.5,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,CS,eps,homophily+slp,Photo,0.5,0.5,"(3, 64, '0.5')","(3, 64, '0.5')",0.9577333333333332,0.9577333333333332,0.0,True
fagcn,Chameleon,full,default,,"(3, 32, '0.4')","(4, 64, '0.5')","(3, 32, '0.4')","(4, 64, '0.5')",0.5116999999999999,0.4861,0.025599999999999956,False
fagcn,Chameleon,full,homophily,Squirrel,"(3, 32, '0.4')","(2, 64, '0.5')","(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,full,slp,Cornell,"(3, 32, '0.4')","(4, 64, '0.5')","(3, 32, '0.4')","(4, 64, '0.5')",0.5116999999999999,0.4861,0.025599999999999956,False
fagcn,Chameleon,full,homophily+slp,Cornell,"(3, 32, '0.4')","(4, 64, '0.5')","(3, 32, '0.4')","(4, 64, '0.5')",0.5116999999999999,0.4861,0.025599999999999956,False
fagcn,Chameleon,depth,default,,3,4,"(3, 32, '0.4')","(4, 32, '0.5')",0.5116999999999999,0.49560000000000004,0.016099999999999892,False
fagcn,Chameleon,depth,homophily,Squirrel,3,2,"(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,depth,slp,Cornell,3,4,"(3, 32, '0.4')","(4, 32, '0.5')",0.5116999999999999,0.49560000000000004,0.016099999999999892,False
fagcn,Chameleon,depth,homophily+slp,Cornell,3,4,"(3, 32, '0.4')","(4, 32, '0.5')",0.5116999999999999,0.49560000000000004,0.016099999999999892,False
fagcn,Chameleon,hidden,default,,32,64,"(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,hidden,homophily,Squirrel,32,64,"(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,hidden,slp,Cornell,32,64,"(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,hidden,homophily+slp,Cornell,32,64,"(3, 32, '0.4')","(2, 64, '0.5')",0.5116999999999999,0.49489999999999995,0.01679999999999998,False
fagcn,Chameleon,eps,default,,0.4,0.5,"(3, 32, '0.4')","(3, 16, '0.5')",0.5116999999999999,0.5080666666666667,0.0036333333333332662,False
fagcn,Chameleon,eps,homophily,Squirrel,0.4,0.5,"(3, 32, '0.4')","(3, 16, '0.5')",0.5116999999999999,0.5080666666666667,0.0036333333333332662,False
fagcn,Chameleon,eps,slp,Cornell,0.4,0.5,"(3, 32, '0.4')","(3, 16, '0.5')",0.5116999999999999,0.5080666666666667,0.0036333333333332662,False
fagcn,Chameleon,eps,homophily+slp,Cornell,0.4,0.5,"(3, 32, '0.4')","(3, 16, '0.5')",0.5116999999999999,0.5080666666666667,0.0036333333333332662,False
fagcn,CiteSeer,full,default,,"(3, 32, '0.4')","(4, 64, '0.5')","(3, 32, '0.4')","(4, 64, '0.5')",0.7743000000000001,0.7542666666666666,0.02003333333333346,False
fagcn,CiteSeer,full,homophily,Computers,"(3, 32, '0.4')","(4, 64, '0.3')","(3, 32, '0.4')","(4, 64, '0.3')",0.7743000000000001,0.7643,0.01000000000000012,False
fagcn,CiteSeer,full,slp,Cora,"(3, 32, '0.4')","(3, 16, '0.1')","(3, 32, '0.4')","(3, 16, '0.1')",0.7743000000000001,0.7658,0.008500000000000063,False
fagcn,CiteSeer,full,homophily+slp,Cora,"(3, 32, '0.4')","(3, 16, '0.1')","(3, 32, '0.4')","(3, 16, '0.1')",0.7743000000000001,0.7658,0.008500000000000063,False
fagcn,CiteSeer,depth,default,,3,4,"(3, 32, '0.4')","(4, 64, '0.2')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,depth,homophily,Computers,3,4,"(3, 32, '0.4')","(4, 64, '0.2')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,depth,slp,Cora,3,3,"(3, 32, '0.4')","(3, 32, '0.4')",0.7743000000000001,0.7743000000000001,0.0,True
