dataset,variant,epsilon,steps,reference_steps,seed,num_nodes,num_classes,full_edges,graph_edges,edge_fraction,ground_truth_key,sparsify_time_sec,slp_time_sec,pipeline_time_sec,steps_wasserstein_to_reference,slp_wasserstein,slp_cdf_l1,slp_cdf_l2
Cora,original,,16,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.008631041999999756,0.008631041999999756,0.015657953697955997,0.02698763032532791,0.00782470937710808,0.011825216767585372
Cora,original,,32,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.02455462499999994,0.02455462499999994,0.00722257173600609,0.02237162234630487,0.003910295163528519,0.0065728579310848365
Cora,original,,64,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.08011329199999961,0.08011329199999961,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
Cora,sparsified,0.3,16,64,0,2708,7,5278,5278,1.0,Cora,2.803633291,0.00937150000000031,2.8130047910000004,0.015657953697955997,0.02698763032532791,0.00782470937710808,0.011825216767585372
Cora,sparsified,0.3,32,64,0,2708,7,5278,5278,1.0,Cora,2.803633291,0.024906082999999413,2.8285393739999996,0.00722257173600609,0.02237162234630487,0.003910295163528519,0.0065728579310848365
Cora,sparsified,0.3,64,64,0,2708,7,5278,5278,1.0,Cora,2.803633291,0.08151924999999949,2.8851525409999996,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
Cora,sparsified,0.6,16,64,0,2708,7,5278,5278,1.0,Cora,0.046511625,0.009126957999999519,0.05563858299999952,0.015657953697955997,0.02698763032532791,0.00782470937710808,0.011825216767585372
Cora,sparsified,0.6,32,64,0,2708,7,5278,5278,1.0,Cora,0.046511625,0.023917124999998762,0.07042874999999876,0.00722257173600609,0.02237162234630487,0.003910295163528519,0.0065728579310848365
Cora,sparsified,0.6,64,64,0,2708,7,5278,5278,1.0,Cora,0.046511625,0.08130287500000044,0.12781450000000044,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
Cora,sparsified,0.9,16,64,0,2708,7,5278,5278,1.0,Cora,0.011660416,0.009337042000000295,0.020997458000000295,0.015657953697955997,0.02698763032532791,0.00782470937710808,0.011825216767585372
Cora,sparsified,0.9,32,64,0,2708,7,5278,5278,1.0,Cora,0.011660416,0.024394541999999575,0.036054957999999575,0.00722257173600609,0.02237162234630487,0.003910295163528519,0.0065728579310848365
Cora,sparsified,0.9,64,64,0,2708,7,5278,5278,1.0,Cora,0.011660416,0.07897841700000008,0.09063883300000009,0.0,0.02090571199227853,0.0026482559146345595,0.005444939268073668
PubMed,original,,16,64,0,19717,3,44324,44324,1.0,PubMed,0.0,0.020713541999999308,0.020713541999999308,0.015656930873822826,0.025408827519796253,0.006561428788337236,0.008880297142317684
PubMed,original,,32,64,0,19717,3,44324,44324,1.0,PubMed,0.0,0.046749750000000034,0.046749750000000034,0.006942827202674646,0.021598542418426823,0.002828938163430147,0.003764051726705807
PubMed,original,,64,64,0,19717,3,44324,44324,1.0,PubMed,0.0,0.13152154199999977,0.13152154199999977,0.0,0.020451507943955095,0.0013280629777318676,0.001983883344534654
PubMed,sparsified,0.3,16,64,0,19717,3,44324,44324,1.0,PubMed,2.5201075,0.02061454099999871,2.5407220409999987,0.015656930873822826,0.025408827519796253,0.006561428788337236,0.008880297142317684
PubMed,sparsified,0.3,32,64,0,19717,3,44324,44324,1.0,PubMed,2.5201075,0.045360125000000195,2.565467625,0.006942827202674646,0.021598542418426823,0.002828938163430147,0.003764051726705807
PubMed,sparsified,0.3,64,64,0,19717,3,44324,44324,1.0,PubMed,2.5201075,0.12777654099999936,2.6478840409999993,0.0,0.020451507943955095,0.0013280629777318676,0.001983883344534654
PubMed,sparsified,0.6,16,64,0,19717,3,44324,44324,1.0,PubMed,0.208066459,0.019653250000001066,0.22771970900000107,0.015656930873822826,0.025408827519796253,0.006561428788337236,0.008880297142317684
PubMed,sparsified,0.6,32,64,0,19717,3,44324,44324,1.0,PubMed,0.208066459,0.04469991700000264,0.2527663760000026,0.006942827202674646,0.021598542418426823,0.002828938163430147,0.003764051726705807
PubMed,sparsified,0.6,64,64,0,19717,3,44324,44324,1.0,PubMed,0.208066459,0.12637054200000009,0.33443700100000007,0.0,0.020451507943955095,0.0013280629777318676,0.001983883344534654
PubMed,sparsified,0.9,16,64,0,19717,3,44324,44323,0.9999774388593087,PubMed,0.217533417,0.019764250000001482,0.2372976670000015,0.015662223777834997,0.025406976255949097,0.0065619425327293306,0.008881466922124936
PubMed,sparsified,0.9,32,64,0,19717,3,44324,44323,0.9999774388593087,PubMed,0.217533417,0.04514645900000147,0.2626798760000015,0.006947930754014832,0.021597481316974584,0.002829241777767947,0.0037648634869945482
PubMed,sparsified,0.9,64,64,0,19717,3,44324,44323,0.9999774388593087,PubMed,0.217533417,0.12764504200000104,0.34517845900000105,0.0,0.02045133127978982,0.0013267783995800065,0.0019821778999248936
Photo,original,,16,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.042771957999999444,0.042771957999999444,0.01012653806315081,0.02692703683248629,0.003819568199059742,0.006293370632305259
Photo,original,,32,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.09195537499999773,0.09195537499999773,0.004818419636192702,0.02561512126634708,0.0020058327421961755,0.0029351869279763375
Photo,original,,64,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.2387374169999994,0.2387374169999994,0.0,0.024597660110267743,0.0015856677536656742,0.004878722978483849
Photo,sparsified,0.3,16,64,0,7650,8,119081,119076,0.9999580117734987,Amazon Photo,3.153593417,0.04170408300000261,3.195297500000003,0.010126495174740907,0.026929048228253476,0.0038199320689613413,0.006294421930288029
Photo,sparsified,0.3,32,64,0,7650,8,119081,119076,0.9999580117734987,Amazon Photo,3.153593417,0.09308033399999971,3.246673751,0.004818371067861283,0.025616317867981516,0.002005744882315228,0.002934224690158298
