dataset,variant,epsilon,steps,reference_steps,seed,num_nodes,num_classes,full_edges,graph_edges,edge_fraction,ground_truth_key,sparsify_time_sec,slp_time_sec,pipeline_time_sec,steps_wasserstein_to_reference,slp_wasserstein,slp_cdf_l1,slp_cdf_l2
Cora,original,,16,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.009074958000000244,0.009074958000000244,0.015657953697955997,0.026923766877346884,0.00790236927399515,0.012139739755855906
Cora,original,,32,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.025356125000000063,0.025356125000000063,0.00722257173600609,0.022410653715336175,0.003907740832645119,0.007114367424384865
Cora,original,,64,64,0,2708,7,5278,5278,1.0,Cora,0.0,0.07995733299999985,0.07995733299999985,0.0,0.021101641148795515,0.0025981588063580473,0.006090172704321418
Cora,sparsified,0.3,16,64,0,2708,7,5278,5278,1.0,Cora,2.72096725,0.008745041000000953,2.729712291000001,0.015657953697955997,0.026923766877346884,0.00790236927399515,0.012139739755855906
Cora,sparsified,0.3,32,64,0,2708,7,5278,5278,1.0,Cora,2.72096725,0.023319749999998862,2.744286999999999,0.00722257173600609,0.022410653715336175,0.003907740832645119,0.007114367424384865
Cora,sparsified,0.3,64,64,0,2708,7,5278,5278,1.0,Cora,2.72096725,0.07800887500000009,2.7989761250000003,0.0,0.021101641148795515,0.0025981588063580473,0.006090172704321418
Cora,sparsified,0.6,16,64,0,2708,7,5278,5278,1.0,Cora,0.048793541,0.008663542000000746,0.05745708300000075,0.015657953697955997,0.026923766877346884,0.00790236927399515,0.012139739755855906
Cora,sparsified,0.6,32,64,0,2708,7,5278,5278,1.0,Cora,0.048793541,0.023240790999999206,0.0720343319999992,0.00722257173600609,0.022410653715336175,0.003907740832645119,0.007114367424384865
Cora,sparsified,0.6,64,64,0,2708,7,5278,5278,1.0,Cora,0.048793541,0.07789362499999974,0.12668716599999974,0.0,0.021101641148795515,0.0025981588063580473,0.006090172704321418
Cora,sparsified,0.9,16,64,0,2708,7,5278,5278,1.0,Cora,0.011466416,0.008679707999998953,0.020146123999998954,0.015657953697955997,0.026923766877346884,0.00790236927399515,0.012139739755855906
Cora,sparsified,0.9,32,64,0,2708,7,5278,5278,1.0,Cora,0.011466416,0.023168541999998737,0.03463495799999874,0.00722257173600609,0.022410653715336175,0.003907740832645119,0.007114367424384865
Cora,sparsified,0.9,64,64,0,2708,7,5278,5278,1.0,Cora,0.011466416,0.0778224999999999,0.08928891599999991,0.0,0.021101641148795515,0.0025981588063580473,0.006090172704321418
Photo,original,,16,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.042914332999998805,0.042914332999998805,0.01012653806315081,0.026831383026741342,0.003801857171631838,0.006255801821814189
Photo,original,,32,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.09097329199999926,0.09097329199999926,0.004818419636192702,0.02552562594929345,0.0020591893050123412,0.0029475802346640894
Photo,original,,64,64,0,7650,8,119081,119081,1.0,Amazon Photo,0.0,0.23503275000000023,0.23503275000000023,0.0,0.02443627047480882,0.0015669309172990753,0.004834402322268989
Photo,sparsified,0.3,16,64,0,7650,8,119081,119076,0.9999580117734987,Amazon Photo,3.003699625,0.04217691700000259,3.0458765420000025,0.010126495174740907,0.02683311263889715,0.0038020665942158495,0.006256819097085572
Photo,sparsified,0.3,32,64,0,7650,8,119081,119076,0.9999580117734987,Amazon Photo,3.003699625,0.09377220899999728,3.097471833999997,0.004818371067861283,0.025526831218009007,0.002059090966349871,0.002946577905262136
Photo,sparsified,0.3,64,64,0,7650,8,119081,119076,0.9999580117734987,Amazon Photo,3.003699625,0.2444007500000005,3.2481003750000004,0.0,0.024438307457018624,0.0015668905979104996,0.004834303312878262
Photo,sparsified,0.6,16,64,0,7650,8,119081,118414,0.994398770584728,Amazon Photo,0.2447005,0.04203408300000078,0.28673458300000076,0.010130265356314356,0.026827138552698047,0.0038038554503624367,0.0062693886964178885
Photo,sparsified,0.6,32,64,0,7650,8,119081,118414,0.994398770584728,Amazon Photo,0.2447005,0.09469666600000082,0.3393971660000008,0.004818189885830795,0.02553427466822715,0.002052005206050125,0.002931574090660247
Photo,sparsified,0.6,64,64,0,7650,8,119081,118414,0.994398770584728,Amazon Photo,0.2447005,0.24113212499999648,0.48583262499999647,0.0,0.024457792671550686,0.0015534521019466274,0.004820140283946546
Photo,sparsified,0.9,16,64,0,7650,8,119081,113149,0.9501851680788707,Amazon Photo,0.130570709,0.038271375000000774,0.16884208400000078,0.010102273119189946,0.026883752386655576,0.003827765930091728,0.006300065941808036
Photo,sparsified,0.9,32,64,0,7650,8,119081,113149,0.9501851680788707,Amazon Photo,0.130570709,0.08877220799999819,0.2193429169999982,0.004839200500069509,0.025573053915890057,0.0020207607395503102,0.00290083332467858
Photo,sparsified,0.9,64,64,0,7650,8,119081,113149,0.9501851680788707,Amazon Photo,0.130570709,0.23905962499999944,0.36963033399999945,0.0,0.02450419777283657,0.0015362773007418563,0.004836163194574867
Texas,original,,16,64,0,183,5,279,279,1.0,Texas,0.0,0.0020847089999982416,0.0020847089999982416,0.01798792788503647,0.299882070208595,0.14822688761975392,0.18265460057281088
Texas,original,,32,64,0,183,5,279,279,1.0,Texas,0.0,0.004904915999997428,0.004904915999997428,0.004985842143849835,0.30097766937292014,0.14880705478373063,0.18218084643179708
