family,seed,homophily,num_edges,pi_0.5,pi_1.0,pi_1.5
uniform_mid,0,0.4150,20230,0.0000,0.8201,1.0000
uniform_mid,1,0.4189,19832,0.0000,0.8262,1.0000
uniform_mid,2,0.4209,20280,0.0000,0.8330,1.0000
uniform_mid,3,0.4167,20002,0.0000,0.8174,1.0000
uniform_mid,4,0.4228,19788,0.0000,0.8318,1.0000
mixed,0,0.4219,19396,0.6200,0.6576,0.6906
mixed,1,0.4213,19342,0.6235,0.6575,0.6879
mixed,2,0.4214,19878,0.6213,0.6570,0.6896
mixed,3,0.4173,19180,0.6178,0.6563,0.6865
mixed,4,0.4195,19604,0.6247,0.6577,0.6872
