epoch,val_acc
0,0.1275
1,0.1590
2,0.1941
3,0.2569
4,0.3068
5,0.3475
6,0.3789
7,0.3974
8,0.4270
9,0.4455
10,0.4455
11,0.4584
12,0.4677
13,0.4603
14,0.4603
15,0.4603
16,0.4677
17,0.4695
18,0.4769
19,0.4769
20,0.4769
21,0.4843
22,0.4880
23,0.4898
24,0.4935
25,0.4954
26,0.5028
27,0.5046
28,0.5120
29,0.5250
30,0.5397
31,0.5527
32,0.5656
33,0.5767
34,0.5841
35,0.5970
36,0.6081
37,0.6266
38,0.6433
39,0.6488
40,0.6562
41,0.6654
42,0.6747
43,0.6858
44,0.7024
45,0.7098
46,0.7209
47,0.7246
48,0.7320
49,0.7394
50,0.7449
51,0.7505
52,0.7542
53,0.7542
54,0.7560
55,0.7671
56,0.7782
57,0.7782
58,0.7782
59,0.7800
60,0.7837
61,0.7837
62,0.7874
63,0.7874
64,0.7856
65,0.7856
66,0.7874
67,0.7856
68,0.7856
69,0.7856
70,0.7893
71,0.7893
72,0.7930
73,0.7930
74,0.7930
75,0.7967
76,0.7985
77,0.8022
78,0.8022
79,0.8041
80,0.8059
81,0.8078
82,0.8059
83,0.8078
84,0.8078
85,0.8096
86,0.8115
87,0.8115
88,0.8115
89,0.8115
90,0.8152
91,0.8170
92,0.8170
93,0.8189
94,0.8207
95,0.8189
96,0.8170
97,0.8170
98,0.8207
99,0.8207
100,0.8189
101,0.8244
102,0.8226
103,0.8244
104,0.8281
105,0.8281
106,0.8299
107,0.8299
108,0.8299
109,0.8318
110,0.8318
111,0.8318
112,0.8318
113,0.8318
114,0.8318
115,0.8318
116,0.8336
117,0.8336
118,0.8318
119,0.8299
120,0.8299
121,0.8299
122,0.8299
123,0.8355
124,0.8373
125,0.8373
126,0.8373
127,0.8373
128,0.8373
129,0.8373
130,0.8373
131,0.8373
132,0.8373
133,0.8373
134,0.8373
135,0.8373
136,0.8392
137,0.8392
138,0.8392
139,0.8392
140,0.8392
141,0.8410
142,0.8410
143,0.8429
144,0.8466
145,0.8466
146,0.8466
147,0.8466
148,0.8466
149,0.8466
150,0.8466
151,0.8466
152,0.8466
153,0.8466
154,0.8484
155,0.8503
156,0.8503
157,0.8503
158,0.8503
159,0.8503
160,0.8503
161,0.8484
162,0.8484
163,0.8484
164,0.8484
165,0.8503
166,0.8503
167,0.8503
168,0.8503
169,0.8521
170,0.8521
171,0.8521
172,0.8521
173,0.8521
174,0.8521
175,0.8521
176,0.8521
177,0.8521
178,0.8577
179,0.8577
180,0.8577
181,0.8595
182,0.8595
183,0.8595
184,0.8595
185,0.8614
186,0.8614
187,0.8614
188,0.8614
189,0.8614
190,0.8614
191,0.8614
192,0.8632
193,0.8651
194,0.8632
195,0.8651
196,0.8688
197,0.8688
198,0.8688
199,0.8688
200,0.8688
201,0.8688
202,0.8706
203,0.8706
204,0.8706
205,0.8706
206,0.8725
207,0.8743
208,0.8743
209,0.8725
210,0.8725
211,0.8725
212,0.8725
213,0.8725
214,0.8743
215,0.8743
216,0.8743
217,0.8743
218,0.8762
219,0.8780
220,0.8799
221,0.8799
222,0.8817
223,0.8817
224,0.8817
225,0.8817
226,0.8780
227,0.8780
228,0.8780
229,0.8799
230,0.8799
231,0.8799
232,0.8817
233,0.8817
234,0.8817
235,0.8817
236,0.8817
237,0.8854
238,0.8854
239,0.8854
240,0.8854
241,0.8854
242,0.8854
243,0.8854
244,0.8854
245,0.8854
246,0.8854
247,0.8854
248,0.8854
249,0.8854
250,0.8854
251,0.8854
252,0.8854
253,0.8854
254,0.8835
255,0.8835
256,0.8854
257,0.8854
258,0.8835
259,0.8817
260,0.8817
261,0.8817
262,0.8817
263,0.8835
264,0.8835
265,0.8835
266,0.8835
267,0.8835
268,0.8835
269,0.8854
270,0.8854
271,0.8872
272,0.8872
273,0.8872
274,0.8872
275,0.8891
276,0.8891
277,0.8891
278,0.8891
279,0.8891
280,0.8891
281,0.8891
282,0.8891
283,0.8909
284,0.8909
285,0.8872
286,0.8872
287,0.8872
288,0.8891
289,0.8891
290,0.8891
291,0.8891
292,0.8909
293,0.8909
294,0.8909
295,0.8872
296,0.8872
297,0.8872
298,0.8872
299,0.8872
300,0.8872
301,0.8872
302,0.8872
303,0.8872
304,0.8891
305,0.8891
306,0.8891
307,0.8891
308,0.8872
309,0.8872
310,0.8872
311,0.8872
312,0.8872
313,0.8872
314,0.8872
315,0.8872
316,0.8872
317,0.8872
318,0.8872
319,0.8872
320,0.8891
321,0.8891
322,0.8872
323,0.8891
324,0.8891
325,0.8891
326,0.8891
327,0.8891
328,0.8891
329,0.8891
330,0.8891
331,0.8891
332,0.8891
333,0.8891
