dataset,model,depth,hidden,eps,dropout,wd,relu,mean,std,count
Actor,fagcn,4,32,0.5,,,,0.3829,0.00947153630621768,3
Actor,gcn,2,32,na,,,,0.3153666666666667,0.014492181800313341,3
Actor,h2gcn,1,64,na,0.5,0.0005,1.0,0.38330000000000003,0.00877097486029918,3
Actor,hfgcn,2,16,na,,,,0.3193,0.01571623364550169,3
Actor,mlp,4,32,na,,,,0.39516666666666667,0.012227973394366442,3
AmazonRatings,fagcn,4,16,0.5,,,,0.4142666666666666,0.002281081614790086,3
AmazonRatings,gcn,4,32,na,,,,0.4299,0.0024637369989509808,3
AmazonRatings,h2gcn,2,64,na,0.25,1e-05,1.0,0.48643333333333333,0.024726571402710323,3
AmazonRatings,hfgcn,3,64,na,,,,0.3132,0.042300472810596325,3
AmazonRatings,mlp,2,64,na,,,,0.38966666666666666,0.0002309401076758249,3
CS,fagcn,4,64,0.5,,,,0.9591,0.0019697715603592394,3
CS,gcn,2,64,na,,,,0.9447333333333333,0.0008621678104252101,3
CS,h2gcn,2,64,na,0.0,0.0005,1.0,0.9625333333333334,0.001270170592217149,3
CS,hfgcn,4,64,na,,,,0.25079999999999997,0.0042508822613664616,3
CS,mlp,2,64,na,,,,0.9414666666666666,0.001270170592217197,3
Chameleon,fagcn,2,32,0.1,,,,0.4045,0.011200000000000009,3
Chameleon,gcn,3,16,na,,,,0.36706666666666665,0.023410752515315134,3
Chameleon,h2gcn,2,64,na,0.0,1e-05,1.0,0.38576666666666665,0.006524058041842766,3
Chameleon,hfgcn,3,64,na,,,,0.3146333333333333,0.038913408143380776,3
Chameleon,mlp,3,32,na,,,,0.35956666666666665,0.011250037036976095,3
CiteSeer,fagcn,4,16,0.2,,,,0.7665000000000001,0.0030000000000000027,3
CiteSeer,gcn,3,64,na,,,,0.7635,0.0030000000000000027,3
CiteSeer,h2gcn,1,64,na,0.5,1e-05,1.0,0.7645,0.007549834435270786,3
CiteSeer,hfgcn,4,64,na,,,,0.23550000000000001,0.0034641016151377296,3
CiteSeer,mlp,2,64,na,,,,0.7146,0.004582575694955844,3
Computers,fagcn,2,64,0.5,,,,0.8955666666666667,0.018156357931406054,3
Computers,gcn,2,64,na,,,,0.8917,0.003306055050963268,3
Computers,h2gcn,1,64,na,0.25,0.0005,1.0,0.9030999999999999,0.001513274595042145,3
Computers,hfgcn,2,64,na,,,,0.39799999999999996,0.005888972745734167,3
Computers,mlp,2,64,na,,,,0.8445,0.003306055050963268,3
Cora,fagcn,4,64,0.5,,,,0.7855333333333334,0.02853144464154123,3
Cora,gcn,2,64,na,,,,0.6409333333333334,0.004272391992003209,3
Cora,h2gcn,1,64,na,0.5,0.0,1.0,0.7794,0.009694843990493083,3
Cora,hfgcn,2,32,na,,,,0.33703333333333335,0.007646131919692029,3
Cora,mlp,2,64,na,,,,0.7487666666666667,0.005651843357112222,3
Cornell,fagcn,3,64,0.5,,,,0.8771999999999999,0.060794983345667644,3
Cornell,gcn,4,32,na,,,,0.7017333333333333,0.030368624159374295,3
Cornell,h2gcn,1,64,na,0.0,1e-05,1.0,0.8245666666666667,0.030368624159374295,3
Cornell,hfgcn,2,32,na,,,,0.7368,0.0,3
Cornell,mlp,2,16,na,,,,0.8946999999999999,0.0,3
Minesweeper,fagcn,2,32,0.5,,,,0.7993333333333333,0.013316656236958706,3
Minesweeper,gcn,2,16,na,,,,0.7959999999999999,0.0,3
Minesweeper,h2gcn,1,64,na,0.25,0.0005,0.0,0.8593333333333333,0.0005773502691895862,3
Minesweeper,hfgcn,4,64,na,,,,0.7326666666666667,0.006658328118479383,3
Minesweeper,mlp,2,16,na,,,,0.7959999999999999,0.0,3
Photo,fagcn,3,64,0.4,,,,0.9464,0.003439476704383956,3
Photo,gcn,2,64,na,,,,0.9255,0.0,3
Photo,h2gcn,1,64,na,0.25,0.0,1.0,0.9446666666666667,0.001985782801147545,3
Photo,hfgcn,4,64,na,,,,0.41566666666666663,0.026698564256029428,3
Photo,mlp,2,64,na,,,,0.9032666666666667,0.00570116947067302,3
PubMed,fagcn,4,64,0.5,,,,0.89,0.0034999999999999793,3
PubMed,gcn,2,64,na,,,,0.8699,0.0008185352771872328,3
PubMed,h2gcn,2,64,na,0.0,0.0005,1.0,0.9037000000000001,0.00259807621135339,3
PubMed,hfgcn,3,16,na,,,,0.6793333333333335,0.0026083200212653123,3
PubMed,mlp,3,64,na,,,,0.8885,0.0004999999999999727,3
RomanEmpire,fagcn,3,64,0.5,,,,0.6577000000000001,0.0011532562594670885,3
RomanEmpire,gcn,2,64,na,,,,0.4786333333333333,0.0041932485418030505,3
RomanEmpire,h2gcn,2,64,na,0.25,0.0,1.0,0.8201666666666666,0.0029687258770949914,3
RomanEmpire,hfgcn,3,64,na,,,,0.6943,0.008884255736976533,3
RomanEmpire,mlp,4,64,na,,,,0.6599333333333334,0.004355838993045207,3
Squirrel,fagcn,3,32,0.5,,,,0.40210000000000007,0.011324751652906136,3
Squirrel,gcn,2,32,na,,,,0.38116666666666665,0.008950046554813755,3
Squirrel,h2gcn,1,64,na,0.5,0.0005,0.0,0.36473333333333335,0.013693185653212075,3
Squirrel,hfgcn,4,16,na,,,,0.34979999999999994,0.00449999999999999,3
Squirrel,mlp,3,64,na,,,,0.37366666666666665,0.01575129624295516,3
Texas,fagcn,3,32,0.5,,,,0.7544,0.10955167730345342,3
Texas,gcn,4,16,na,,,,0.43860000000000005,0.06079498334566757,3
Texas,h2gcn,2,64,na,0.0,0.0005,1.0,0.8596333333333334,0.06073724831874869,3
Texas,hfgcn,2,64,na,,,,0.7543666666666667,0.030426359186293276,3
Texas,mlp,3,64,na,,,,0.8245666666666667,0.030368624159374295,3
Tolokers,fagcn,2,64,0.2,,,,0.7955,0.0017776388834631282,3
Tolokers,gcn,3,64,na,,,,0.7881666666666667,0.000981495457622368,3
Tolokers,h2gcn,1,64,na,0.0,0.0005,1.0,0.7983333333333333,0.0024826061575153897,3
Tolokers,hfgcn,4,64,na,,,,0.7706,0.008087644898238301,3
Tolokers,mlp,2,16,na,,,,0.7876,0.0,3
WikiCS,fagcn,4,64,0.5,,,,0.8158333333333333,0.0025967928938083746,3
WikiCS,gcn,2,64,na,,,,0.8019,0.0033999999999999586,3
WikiCS,h2gcn,2,64,na,0.25,0.0,1.0,0.8300666666666666,0.005950070027599043,3
WikiCS,hfgcn,4,64,na,,,,0.4623,0.01451516448408356,3
WikiCS,mlp,2,64,na,,,,0.7819333333333334,0.004045161719058115,3
Wisconsin,fagcn,3,32,0.5,,,,0.8205333333333332,0.022227985363800565,3
Wisconsin,gcn,4,32,na,,,,0.5256666666666666,0.02222798536380059,3
Wisconsin,h2gcn,1,64,na,0.25,0.0,1.0,0.8077,0.03849999999999998,3
Wisconsin,hfgcn,2,32,na,,,,0.6538333333333334,0.03845001083658285,3
Wisconsin,mlp,2,32,na,,,,0.8205333333333332,0.022227985363800565,3
