id,dataset,model,depth,hidden,eps,seed,test_acc
Cora_L4_H64_eps0.1_s2,Cora,fagcn,4,64,0.1,2,0.8897
Cora_L4_H64_eps0.2_s0,Cora,fagcn,4,64,0.2,0,0.8860
Cora_L4_H64_eps0.2_s1,Cora,fagcn,4,64,0.2,1,0.8750
Cora_L4_H64_eps0.2_s2,Cora,fagcn,4,64,0.2,2,0.8640
Cora_L4_H64_eps0.3_s0,Cora,fagcn,4,64,0.3,0,0.8860
Cora_L4_H64_eps0.3_s1,Cora,fagcn,4,64,0.3,1,0.8676
Cora_L4_H64_eps0.3_s2,Cora,fagcn,4,64,0.3,2,0.8603
Cora_L4_H64_eps0.4_s0,Cora,fagcn,4,64,0.4,0,0.8787
Cora_L4_H64_eps0.4_s1,Cora,fagcn,4,64,0.4,1,0.8824
Cora_L4_H64_eps0.4_s2,Cora,fagcn,4,64,0.4,2,0.8640
Cora_L4_H64_eps0.5_s0,Cora,fagcn,4,64,0.5,0,0.8860
Cora_L4_H64_eps0.5_s1,Cora,fagcn,4,64,0.5,1,0.8824
Cora_L4_H64_eps0.5_s2,Cora,fagcn,4,64,0.5,2,0.8824
Photo_L2_H16_eps0.1_s0,Photo,fagcn,2,16,0.1,0,0.9203
Photo_L2_H16_eps0.1_s1,Photo,fagcn,2,16,0.1,1,0.4614
Photo_L2_H16_eps0.1_s2,Photo,fagcn,2,16,0.1,2,0.4654
Photo_L2_H16_eps0.2_s0,Photo,fagcn,2,16,0.2,0,0.9373
Photo_L2_H16_eps0.2_s1,Photo,fagcn,2,16,0.2,1,0.9072
Photo_L2_H16_eps0.2_s2,Photo,fagcn,2,16,0.2,2,0.5673
Photo_L2_H16_eps0.3_s0,Photo,fagcn,2,16,0.3,0,0.9268
Photo_L2_H16_eps0.3_s1,Photo,fagcn,2,16,0.3,1,0.9020
Photo_L2_H16_eps0.3_s2,Photo,fagcn,2,16,0.3,2,0.6288
Photo_L2_H16_eps0.4_s0,Photo,fagcn,2,16,0.4,0,0.9281
Photo_L2_H16_eps0.4_s1,Photo,fagcn,2,16,0.4,1,0.8536
Photo_L2_H16_eps0.4_s2,Photo,fagcn,2,16,0.4,2,0.8850
Photo_L2_H16_eps0.5_s0,Photo,fagcn,2,16,0.5,0,0.8980
Photo_L2_H16_eps0.5_s1,Photo,fagcn,2,16,0.5,1,0.9281
Photo_L2_H16_eps0.5_s2,Photo,fagcn,2,16,0.5,2,0.9163
