dataset,task,has_metrics,has_target,included,reason
Actor,jacobi_ab,True,True,True,included
Actor,architecture,True,True,True,included
Actor,paper_K,True,True,True,included
AmazonRatings,jacobi_ab,True,True,True,included
AmazonRatings,architecture,True,True,True,included
AmazonRatings,paper_K,True,True,True,included
CS,jacobi_ab,True,True,True,included
CS,architecture,True,True,True,included
CS,paper_K,True,True,True,included
Chameleon,jacobi_ab,True,True,True,included
Chameleon,architecture,True,True,True,included
Chameleon,paper_K,True,True,True,included
CiteSeer,jacobi_ab,True,True,True,included
CiteSeer,architecture,True,True,True,included
CiteSeer,paper_K,True,True,True,included
Computers,jacobi_ab,True,True,True,included
Computers,architecture,True,True,True,included
Computers,paper_K,True,True,True,included
Cora,jacobi_ab,True,True,True,included
Cora,architecture,True,True,True,included
Cora,paper_K,True,True,True,included
Cornell,jacobi_ab,True,True,True,included
Cornell,architecture,True,True,True,included
Cornell,paper_K,True,True,True,included
Minesweeper,jacobi_ab,True,True,True,included
Minesweeper,architecture,True,True,True,included
Minesweeper,paper_K,True,True,True,included
Photo,jacobi_ab,True,True,True,included
Photo,architecture,True,True,True,included
Photo,paper_K,True,True,True,included
PubMed,jacobi_ab,True,True,True,included
PubMed,architecture,True,True,True,included
PubMed,paper_K,True,True,True,included
Questions,jacobi_ab,True,True,True,included
Questions,architecture,True,True,True,included
Questions,paper_K,True,True,True,included
RomanEmpire,jacobi_ab,True,True,True,included
RomanEmpire,architecture,True,True,True,included
RomanEmpire,paper_K,True,True,True,included
Squirrel,jacobi_ab,True,True,True,included
Squirrel,architecture,True,True,True,included
Squirrel,paper_K,True,True,True,included
Texas,jacobi_ab,True,True,True,included
Texas,architecture,True,True,True,included
Texas,paper_K,True,True,True,included
Tolokers,jacobi_ab,True,True,True,included
Tolokers,architecture,True,True,True,included
Tolokers,paper_K,True,True,True,included
WikiCS,jacobi_ab,True,True,True,included
WikiCS,architecture,True,True,True,included
WikiCS,paper_K,True,True,True,included
Wisconsin,jacobi_ab,True,True,True,included
Wisconsin,architecture,True,True,True,included
Wisconsin,paper_K,True,True,True,included
