dataset,n_bins,metric_family,feature_index,component,bin_index,bin_left,bin_right,metric_value,num_nodes,num_edges,num_features,num_classes,homophily,label_scope,label_split_mode,label_train_r,label_seeds,label_seed_count,spectral_method,requested_device,compute_device,device_fallback_reason,chebyshev_order,chebyshev_jackson,lanczos_steps,lanczos_feature_probes,lanczos_seed
Actor,1,label_slp,0,label_slp_mass,0,0.0,2.0,0.9999963278663293,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,1,feature_density,0,feature_spectral_density,0,0.0,2.0,0.4832727739065876,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,1,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,2,label_slp,0,label_slp_mass,0,0.0,1.0,0.44776447365256294,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,2,label_slp,1,label_slp_mass,1,1.0,2.0,0.5522318545286218,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,2,feature_density,0,feature_spectral_density,0,0.0,1.0,0.4449801879884935,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,2,feature_density,1,feature_spectral_density,1,1.0,2.0,0.521565365150835,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,2,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,label_slp,0,label_slp_mass,0,0.0,0.6666666666666666,0.21371590828968498,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,label_slp,1,label_slp_mass,1,0.6666666666666666,1.3333333333333333,0.5758881930782718,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,label_slp,2,label_slp_mass,2,1.3333333333333333,2.0,0.2103922309645602,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,feature_density,0,feature_spectral_density,0,0.0,0.6666666666666666,0.30836591314595163,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,feature_density,1,feature_spectral_density,1,0.6666666666666666,1.3333333333333333,0.836841851514008,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,feature_density,2,feature_spectral_density,2,1.3333333333333333,2.0,0.3046106116528732,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,3,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,label_slp,0,label_slp_mass,0,0.0,0.5,0.11623380121275058,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,label_slp,1,label_slp_mass,1,0.5,1.0,0.33153067834508987,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,label_slp,2,label_slp_mass,2,1.0,1.5,0.44075982770136546,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,label_slp,3,label_slp_mass,3,1.5,2.0,0.11147202834613838,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,feature_density,0,feature_spectral_density,0,0.0,0.5,0.226656559864939,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,feature_density,1,feature_spectral_density,1,0.5,1.0,0.6633038223258934,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,feature_density,2,feature_spectral_density,2,1.0,1.5,0.8302871962629778,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,feature_density,3,feature_spectral_density,3,1.5,2.0,0.21284354646638284,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,4,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,label_slp,0,label_slp_mass,0,0.0,0.4,0.06398444411784099,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,label_slp,1,label_slp_mass,1,0.4,0.8,0.23079137961308538,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,label_slp,2,label_slp_mass,2,0.8,1.2000000000000002,0.4087399606738108,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,label_slp,3,label_slp_mass,3,1.2000000000000002,1.6,0.24148463340145815,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,label_slp,4,label_slp_mass,4,1.6,2.0,0.05499591456605193,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,feature_density,0,feature_spectral_density,0,0.0,0.4,0.1540975450492426,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,feature_density,1,feature_spectral_density,1,0.4,0.8,0.5620857655389311,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,feature_density,2,feature_spectral_density,2,0.8,1.2000000000000002,0.9786089678315685,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,feature_density,3,feature_spectral_density,3,1.2000000000000002,1.6,0.5868516520796826,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,feature_density,4,feature_spectral_density,4,1.6,2.0,0.1347199662190866,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,5,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,0,label_slp_mass,0,0.0,0.3333333333333333,0.03881643833883846,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,1,label_slp_mass,1,0.3333333333333333,0.6666666666666666,0.17489947002876577,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,2,label_slp_mass,2,0.6666666666666666,1.0,0.23404856791823042,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,3,label_slp_mass,3,1.0,1.3333333333333333,0.34183962244924254,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,4,label_slp_mass,4,1.3333333333333333,1.6666666666666665,0.17771081777656894,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,label_slp,5,label_slp_mass,5,1.6666666666666665,2.0,0.03268141165187009,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,0,feature_spectral_density,0,0.0,0.3333333333333333,0.11194929593528016,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,1,feature_spectral_density,1,0.3333333333333333,0.6666666666666666,0.504782523366047,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,2,feature_spectral_density,2,0.6666666666666666,1.0,0.7182087509889601,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,3,feature_spectral_density,3,1.0,1.3333333333333333,0.9554748801359884,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,4,feature_spectral_density,4,1.3333333333333333,1.6666666666666665,0.5141627872032226,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,feature_density,5,feature_spectral_density,5,1.6666666666666665,2.0,0.09505842644887127,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,6,homophily,0,homophily,-1,nan,nan,0.20498234033584595,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
Actor,7,label_slp,0,label_slp_mass,0,0.0,0.2857142857142857,0.029469548288115,7600,30019,932,5,0.20498234033584595,train,paper_random,0.8,"0,1,2,3,4,5,6,7,8,9",10,lanczos,cpu,cpu,,,,64,16,0
