id,dataset,model,depth,hidden,eps,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,hfgcn,2,16,na,0,0.1492
Cora_L2_H16_epsna_s1,Cora,hfgcn,2,16,na,1,0.1989
Cora_L2_H16_epsna_s2,Cora,hfgcn,2,16,na,2,0.1878
Cora_L2_H32_epsna_s0,Cora,hfgcn,2,32,na,0,0.2026
Cora_L2_H32_epsna_s1,Cora,hfgcn,2,32,na,1,0.2099
Cora_L2_H32_epsna_s2,Cora,hfgcn,2,32,na,2,0.1915
Cora_L2_H64_epsna_s0,Cora,hfgcn,2,64,na,0,0.1915
Cora_L2_H64_epsna_s1,Cora,hfgcn,2,64,na,1,0.1971
Cora_L2_H64_epsna_s2,Cora,hfgcn,2,64,na,2,0.1989
Cora_L3_H16_epsna_s0,Cora,hfgcn,3,16,na,0,0.2026
Cora_L3_H16_epsna_s1,Cora,hfgcn,3,16,na,1,0.2173
Cora_L3_H16_epsna_s2,Cora,hfgcn,3,16,na,2,0.2099
Cora_L3_H32_epsna_s0,Cora,hfgcn,3,32,na,0,0.2376
Cora_L3_H32_epsna_s1,Cora,hfgcn,3,32,na,1,0.2265
Cora_L3_H32_epsna_s2,Cora,hfgcn,3,32,na,2,0.2615
Cora_L3_H64_epsna_s0,Cora,hfgcn,3,64,na,0,0.2173
Cora_L3_H64_epsna_s1,Cora,hfgcn,3,64,na,1,0.2155
Cora_L3_H64_epsna_s2,Cora,hfgcn,3,64,na,2,0.2339
Cora_L4_H16_epsna_s0,Cora,hfgcn,4,16,na,0,0.2320
Cora_L4_H16_epsna_s1,Cora,hfgcn,4,16,na,1,0.2431
Cora_L4_H16_epsna_s2,Cora,hfgcn,4,16,na,2,0.2449
Cora_L4_H32_epsna_s0,Cora,hfgcn,4,32,na,0,0.2818
Cora_L4_H32_epsna_s1,Cora,hfgcn,4,32,na,1,0.1694
Cora_L4_H32_epsna_s2,Cora,hfgcn,4,32,na,2,0.3039
Cora_L4_H64_epsna_s0,Cora,hfgcn,4,64,na,0,0.2910
Cora_L4_H64_epsna_s1,Cora,hfgcn,4,64,na,1,0.3370
Cora_L4_H64_epsna_s2,Cora,hfgcn,4,64,na,2,0.3278
Photo_L2_H16_epsna_s0,Photo,hfgcn,2,16,na,0,0.3745
Photo_L2_H16_epsna_s1,Photo,hfgcn,2,16,na,1,0.3412
Photo_L2_H16_epsna_s2,Photo,hfgcn,2,16,na,2,0.3327
Photo_L2_H32_epsna_s0,Photo,hfgcn,2,32,na,0,0.3739
Photo_L2_H32_epsna_s1,Photo,hfgcn,2,32,na,1,0.3614
Photo_L2_H32_epsna_s2,Photo,hfgcn,2,32,na,2,0.3556
Photo_L2_H64_epsna_s0,Photo,hfgcn,2,64,na,0,0.3810
Photo_L2_H64_epsna_s1,Photo,hfgcn,2,64,na,1,0.3549
Photo_L2_H64_epsna_s2,Photo,hfgcn,2,64,na,2,0.3752
Photo_L3_H16_epsna_s0,Photo,hfgcn,3,16,na,0,0.3680
Photo_L3_H16_epsna_s1,Photo,hfgcn,3,16,na,1,0.3307
Photo_L3_H16_epsna_s2,Photo,hfgcn,3,16,na,2,0.3438
Photo_L3_H32_epsna_s0,Photo,hfgcn,3,32,na,0,0.3719
Photo_L3_H32_epsna_s1,Photo,hfgcn,3,32,na,1,0.3706
Photo_L3_H32_epsna_s2,Photo,hfgcn,3,32,na,2,0.3627
Photo_L3_H64_epsna_s0,Photo,hfgcn,3,64,na,0,0.3935
Photo_L3_H64_epsna_s1,Photo,hfgcn,3,64,na,1,0.3680
Photo_L3_H64_epsna_s2,Photo,hfgcn,3,64,na,2,0.3686
Photo_L4_H16_epsna_s0,Photo,hfgcn,4,16,na,0,0.3366
Photo_L4_H16_epsna_s1,Photo,hfgcn,4,16,na,1,0.3471
Photo_L4_H16_epsna_s2,Photo,hfgcn,4,16,na,2,0.3190
Photo_L4_H32_epsna_s0,Photo,hfgcn,4,32,na,0,0.3614
Photo_L4_H32_epsna_s1,Photo,hfgcn,4,32,na,1,0.4732
Photo_L4_H32_epsna_s2,Photo,hfgcn,4,32,na,2,0.3294
Photo_L4_H64_epsna_s0,Photo,hfgcn,4,64,na,0,0.3915
Photo_L4_H64_epsna_s1,Photo,hfgcn,4,64,na,1,0.3621
Photo_L4_H64_epsna_s2,Photo,hfgcn,4,64,na,2,0.3830
Texas_L2_H16_epsna_s0,Texas,hfgcn,2,16,na,0,0.7632
Texas_L2_H16_epsna_s1,Texas,hfgcn,2,16,na,1,0.8421
Texas_L2_H16_epsna_s2,Texas,hfgcn,2,16,na,2,0.8684
Texas_L2_H32_epsna_s0,Texas,hfgcn,2,32,na,0,0.7368
Texas_L2_H32_epsna_s1,Texas,hfgcn,2,32,na,1,0.8684
Texas_L2_H32_epsna_s2,Texas,hfgcn,2,32,na,2,0.7895
Texas_L2_H64_epsna_s0,Texas,hfgcn,2,64,na,0,0.7105
Texas_L2_H64_epsna_s1,Texas,hfgcn,2,64,na,1,0.8421
Texas_L2_H64_epsna_s2,Texas,hfgcn,2,64,na,2,0.7632
Texas_L3_H16_epsna_s0,Texas,hfgcn,3,16,na,0,0.7105
Texas_L3_H16_epsna_s1,Texas,hfgcn,3,16,na,1,0.8684
Texas_L3_H16_epsna_s2,Texas,hfgcn,3,16,na,2,0.8158
Texas_L3_H32_epsna_s0,Texas,hfgcn,3,32,na,0,0.7105
Texas_L3_H32_epsna_s1,Texas,hfgcn,3,32,na,1,0.8684
Texas_L3_H32_epsna_s2,Texas,hfgcn,3,32,na,2,0.8158
Texas_L3_H64_epsna_s0,Texas,hfgcn,3,64,na,0,0.7895
Texas_L3_H64_epsna_s1,Texas,hfgcn,3,64,na,1,0.8421
Texas_L3_H64_epsna_s2,Texas,hfgcn,3,64,na,2,0.8158
Texas_L4_H16_epsna_s0,Texas,hfgcn,4,16,na,0,0.7105
Texas_L4_H16_epsna_s1,Texas,hfgcn,4,16,na,1,0.7895
Texas_L4_H16_epsna_s2,Texas,hfgcn,4,16,na,2,0.8158
Texas_L4_H32_epsna_s0,Texas,hfgcn,4,32,na,0,0.7368
Texas_L4_H32_epsna_s1,Texas,hfgcn,4,32,na,1,0.6842
Texas_L4_H32_epsna_s2,Texas,hfgcn,4,32,na,2,0.8158
Texas_L4_H64_epsna_s0,Texas,hfgcn,4,64,na,0,0.7368
Texas_L4_H64_epsna_s1,Texas,hfgcn,4,64,na,1,0.8684
Texas_L4_H64_epsna_s2,Texas,hfgcn,4,64,na,2,0.7895
Chameleon_L2_H16_epsna_s0,Chameleon,hfgcn,2,16,na,0,0.6162
Chameleon_L2_H16_epsna_s1,Chameleon,hfgcn,2,16,na,1,0.6140
Chameleon_L2_H16_epsna_s2,Chameleon,hfgcn,2,16,na,2,0.5592
Chameleon_L2_H32_epsna_s0,Chameleon,hfgcn,2,32,na,0,0.6338
Chameleon_L2_H32_epsna_s1,Chameleon,hfgcn,2,32,na,1,0.6184
